 Description City Street PostalCode Country Longitude Latitude isOwnedByWall isHandicappedAccessible Price canBePayedWithCoins canBePayedInApp canBePayedWithNFC hasChangingTable LabelID
0 "Toilette Ottmachauer Steig (oberhalb Badestelle Ostufer)" Berlin "Krumme Lanke, Quermatenweg" 14109 Deutschland 13.240574813 52.453581173 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
1 "Wall CT, Ostseestr." Berlin Ostseestr. 10409 Deutschland 13.4305053079 52.5510829243 1 1 "50 Cent" 1 0 1 0 "City Toilette"
2 "Toilette Uferweg " Berlin "Schlachtensee , Am Schlachtensee" 14129 Deutschland 13.1992287644287 52.4365068880875 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
3 "Toilette Am Kiesteich 50" Berlin Spektepark 13589 Deutschland 13.1648593254089 52.5488398803196 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
4 "Wall CT, Lindenufer" Berlin Lindenufer 13597 Deutschland 13.2077640060379 52.537351114776 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
5 "Wall CT, Friedhof Eythstr., Eythst." Berlin "Friedhof Eythstr., Eythst." 12105 Deutschland 13.3664741598498 52.459607642313 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
6 "Toilette Rüdesheimer Str." Berlin "Rüdesheimer Platz" 14197 Deutschland 13.314755 52.473363 1 0 Kostenlos 0 0 0 0 "Cafe Achreck"
7 "Toilette Leuthener Str." Berlin "Leuthener Platz , Naumannstr." 10829 Deutschland 13.363288 52.481146 1 0 Kostenlos 0 0 0 0 "Cafe Achreck"
8 "Toilette Bulgarische Str." Berlin "Treptower Park, Weltspielplatz/Alt-Treptow" 12435 Deutschland 13.4800560474389 52.4855187228924 1 0 "50 Cent" 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
9 "Toilette  " Berlin "S Bhf. Treptower Park, Stern und Kreisschiffahrt/Puschkinallee" 12435 Deutschland 13.4633458852759 52.4934218571887 1 0 "50 Cent" 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
10 "Wall CT, Pestalozzistr." Berlin Pestalozzistr. 10627 Deutschland 13.306683 52.5078805 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
11 "Wall CT, Preußenallee" Berlin Preußenallee 14052 Deutschland 13.2601504282416 52.5161478405709 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
12 "Wall CT, Hochmeisterplatz, Westfälische Str." Berlin "Hochmeisterplatz, Westfälische Str." 10709 Deutschland 13.299396643694 52.4952979658526 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
13 "Wall CT, Humboldthain, Gustav-Meyer-Allee" Berlin "Humboldthain, Gustav-Meyer-Allee" 13355 Deutschland 13.3905134110447 52.5447483688373 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
14 "Wall CT, Alt-Moabit" Berlin Alt-Moabit 10555 Deutschland 13.3355016043326 52.5249959545972 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
