Street	PostalCode	Longitude	Latitude	Description
Krumme Lanke, Quermatenweg	14109	13,24057481	52,45358117	Toilette Ottmachauer Steig (oberhalb Badestelle Ostufer)
Ostseestr.	10409	13,43050531	52,55108292	Wall CT, Ostseestr.
Schlachtensee , Am Schlachtensee	14129	13,19922876	52,43650689	Toilette Uferweg 
Spektepark	13589	13,16485933	52,54883988	Toilette Am Kiesteich 50
Lindenufer	13597	13,20776401	52,53735111	Wall CT, Lindenufer
Friedhof Eythstr., Eythst.	12105	13,36647416	52,45960764	Wall CT, Friedhof Eythstr., Eythst.
Rüdesheimer Platz	14197	13,314755	52,473363	Toilette Rüdesheimer Str.
Leuthener Platz , Naumannstr.	10829	13,363288	52,481146	Toilette Leuthener Str.
Treptower Park, Weltspielplatz/Alt-Treptow	12435	13,48005605	52,48551872	Toilette Bulgarische Str.
S Bhf. Treptower Park, Stern und Kreisschiffahrt/Puschkinallee	12435	13,46334589	52,49342186	Toilette  
Pestalozzistr.	10627	13,306683	52,5078805	Wall CT, Pestalozzistr.
Preußenallee	14052	13,26015043	52,51614784	Wall CT, Preußenallee
Hochmeisterplatz, Westfälische Str.	10709	13,29939664	52,49529797	Wall CT, Hochmeisterplatz, Westfälische Str.
Humboldthain, Gustav-Meyer-Allee	13355	13,39051341	52,54474837	Wall CT, Humboldthain, Gustav-Meyer-Allee
Alt-Moabit	10555	13,3355016	52,52499595	Wall CT, Alt-Moabit
Buddeplatz (S-Bhf. Tegel), Buddestr.	13507	13,28855267	52,58809291	Wall CT, Buddeplatz (S-Bhf. Tegel), Buddestr.
Göschenplatz, Oranienburger Str.	13437	13,33233623	52,59754508	Wall CT, Göschenplatz, Oranienburger Str.
Am Märchenbrunnen, Friedenstr.	10249	13,42739337	52,52711565	Wall CT, Am Märchenbrunnen, Friedenstr.
Forckenbeckplatz, Eldenaer Str.	10247	13,46108994	52,51995535	Wall CT, Forckenbeckplatz, Eldenaer Str.
Degnerstr.	13053	13,49426207	52,54559582	Wall CT, Degnerstr.
Gürtelstr.	10247	13,47697618	52,51314661	Wall CT, Gürtelstr.
Kladower Damm	14089	13,14391838	52,45375126	Wall CT, Kladower Damm
Hellersdorfer Str.	12619	13,5884471	52,52086724	Wall CT, Hellersdorfer Str.
Havemannstr.	12689	13,56583554	52,57009937	Wall CT, Havemannstr.
Lipschitzplatz	12353	13,46317976	52,42383789	Wall CT, Lipschitzplatz
Richardplatz	12055	13,44538488	52,4740719	Wall CT, Richardplatz
Kollwitzplatz, Kollwitzstr.	10435	13,417025	52,53558335	Wall CT, Kollwitzplatz, Kollwitzstr.
Elsa-Brändström-Str.	13189	13,41353517	52,55983408	Wall CT, Elsa-Brändström-Str.
Alt-Mariendorf	12107	13,38791218	52,44015873	Wall CT, Alt-Mariendorf
Hauptstr.	10827	13,35281188	52,48432516	Wall CT, Hauptstr.
